Gol,X,Y,Campeonato,subEventoNome,idTime,idJogador,distanciaCentro,distanciaGol,Angulo
0,22,69,Copa do mundo,Shot,4418,7936,19.0,26.194131022043848,0.2462482602502879
0,16,62,Copa do mundo,Shot,4418,3682,12.0,18.52241884851976,0.3570259958775754
0,21,35,Copa do mundo,Shot,15594,114762,15.0,24.10943798598383,0.27692764027077
0,8,35,Copa do mundo,Shot,15594,14909,15.0,12.86944054728099,0.3838839963626258
0,12,43,Copa do mundo,Shot,4418,353833,7.0,13.396361446303246,0.5069724665686698
0,9,27,Copa do mundo,Shot,4418,26010,23.0,17.68629412850527,0.22705100397193015
1,3,49,Copa do mundo,Shot,4418,353833,1.0,3.2163644072150777,1.70233357190678
0,13,59,Italiano,Shot,3176,3710,9.0,14.85075755643462,0.4494261620364326
0,9,33,Copa do mundo,Shot,4418,279545,17.0,14.53977303811858,0.3360930094197185
0,26,43,Copa do mundo,Shot,15594,139078,7.0,27.6765695128569,0.2595395791252513
0,18,29,Copa do mundo,Shot,15594,114813,21.0,23.313783476733242,0.2552731975395584
0,25,39,Copa do mundo,Shot,15594,70156,11.0,27.206341172601654,0.2584681483042706
0,23,73,Copa do mundo,Shot,15594,114709,23.0,28.402904781025477,0.2192485398652715
0,1,29,Copa do mundo,Shot,15594,14872,21.0,13.690325050925562,0.04413626978729639
0,12,51,Copa do mundo,Shot,4418,286390,1.0,12.616754733290174,0.5640811317617371
0,28,38,Copa do mundo,Free kick shot,15594,14909,12.0,30.41710045352778,0.23178243711250054
0,22,47,Copa do mundo,Shot,4418,25437,3.0,23.182159088402443,0.3121359581023169
0,12,37,Copa do mundo,Shot,4418,26010,13.0,15.17110740849197,0.40228502943306477
0,21,64,Copa do mundo,Shot,8493,61407,14.0,23.853982895944235,0.28271739483462277
1,13,44,Copa do mundo,Shot,7712,54,6.0,14.196214284097012,0.4882107094937715
0,28,37,Copa do mundo,Shot,7712,241945,13.0,30.590235370130774,0.22922068144197508
0,28,43,Copa do mundo,Shot,8493,61407,7.0,29.749999999999996,0.24205180381778696
0,12,56,Copa do mundo,Shot,8493,16151,6.0,13.189768762188365,0.5213741842885677
0,28,50,Copa do mundo,Shot,8493,62389,0.0,29.4,0.24770521650787172
0,10,32,Alemao,Shot,2482,69411,18.0,15.720687007888682,0.3176837118199129
0,12,49,Copa do mundo,Shot,7712,241945,1.0,12.616754733290174,0.5640811317617371
0,29,45,Copa do mundo,Shot,8493,62389,5.0,30.62294891090667,0.23661398790853166
0,25,62,Copa do mundo,Shot,8493,61407,12.0,27.384347719089458,0.2552049744911656
0,24,34,Copa do mundo,Shot,7712,241945,16.0,27.26169473822198,0.2475728667132947
0,13,66,Copa do mundo,Shot,8493,15020,16.0,17.160492417177313,0.34153966032468785
0,8,25,Copa do mundo,Shot,8493,403613,25.0,18.29268979674668,0.1891283495538501
0,12,46,Copa do mundo,Shot,8493,15020,4.0,12.86545762886031,0.545034060148062
0,21,60,Copa do mundo,Shot,7712,54,10.0,22.98809474488915,0.3036819004236065
0,12,34,Copa do mundo,Shot,7712,55968,16.0,16.33768649472746,0.34891490595427527
0,12,37,Copa do mundo,Shot,4418,26010,13.0,15.17110740849197,0.40228502943306477
0,20,78,Copa do mundo,Shot,4418,286390,28.0,27.789206537790893,0.19986661442558984
0,17,75,Copa do mundo,Shot,4418,3682,25.0,24.138869070443214,0.22561028204344255
0,28,77,Copa do mundo,Shot,4418,286390,27.0,34.23977949695354,0.18359837989901018
0,25,69,Copa do mundo,Shot,7712,54,19.0,29.01008445351375,0.22797859744767013
0,27,57,Copa do mundo,Shot,4418,3682,7.0,28.71280202279116,0.2505002147733271
0,31,50,Copa do mundo,Free kick shot,7712,54,0.0,32.55,0.2239441566207394
0,25,47,Copa do mundo,Shot,4418,28922,3.0,26.322328924318228,0.27559787233217653
0,17,48,Copa do mundo,Shot,7712,54,2.0,17.897276329095444,0.4024840245835908
0,26,38,Copa do mundo,Shot,7712,1722,12.0,28.392428568194024,0.24693951612773496
